"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL HOMELESS STUDENTS","SUM_HOMELESS","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901025,"GRADUATION PREP ACADEMY TRAVIS","HIGH SCHOOL",227,"TRAVIS COUNTY",13,157,0,0,36,0,34,131,17,155,0,0,16,19,13
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901026,"GRADUATION PREP ACADEMY LANIER","HIGH SCHOOL",227,"TRAVIS COUNTY",13,122,0,0,42,0,42,91,7,121,0,0,12,10,7
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901027,"TRAVIS COUNTY DAY SCHOOL","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,11,0,0,5,0,5,6,0,11,0,0,-9999999,0,-9999999
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901028,"RICHARDS SCH FOR YOUNG WOMEN LEADE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,785,246,785,45,0,43,436,8,127,-9999999,-9999999,6,9,16
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901029,"INTERNATIONAL H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,261,0,69,216,0,216,250,18,220,0,0,0,18,0
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901030,"TRAVIS COUNTY JUVENILE DETENTION C","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,44,0,0,12,0,11,23,0,44,0,0,11,0,-9999999
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901032,"PHOENIX ACADEMY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,34,0,0,-9999999,0,-9999999,5,0,34,0,0,5,0,0
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901035,"LEADERSHIP ACADEMY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,40,0,6,13,0,11,24,0,40,0,0,13,0,7
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901036,"TRAVIS COUNTY J J A E P","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,5,0,-9999999,-9999999,0,-9999999,-9999999,0,5,0,0,0,0,0
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901043,"FULMORE M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,1024,266,322,280,0,273,632,1024,534,0,0,116,17,79
