PEIMS DATA FOR SCHOOL YEAR 2016-2017
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  3",80
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  4",105
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  5",106
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Kindergarten",56
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  1",61
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  2",72
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  3",59
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  4",83
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  5",63
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  6",32
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Early Education",12
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Pre-kindergarten",70
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Kindergarten",102
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  1",107
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  2",105
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  3",110
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  4",110
"2016-2017",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  5",93
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Pre-kindergarten",49
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Kindergarten",76
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  1",64
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  2",74
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  3",75
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  4",43
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  5",50
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Grade  6",311
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Grade  7",269
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Grade  8",303
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Kindergarten",96
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  1",123
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  2",97
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  3",115
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  4",123
"2016-2017",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  5",130
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Pre-kindergarten",33
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Kindergarten",66
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  1",70
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  2",55
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  3",50
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  4",64
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  5",42
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Pre-kindergarten",75
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Kindergarten",89
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  1",87
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  2",98
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  3",109
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  4",98
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  5",115
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Pre-kindergarten",54
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Kindergarten",80
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  1",89
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  2",67
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  3",72
