PEIMS DATA FOR SCHOOL YEAR 2011-2012
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Pre-kindergarten",94
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Kindergarten",124
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  1",126
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  2",132
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  3",131
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  4",124
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  5",116
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Pre-kindergarten",102
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Kindergarten",61
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  1",55
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  2",69
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  3",64
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  4",63
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  5",58
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Early Education",11
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Pre-kindergarten",34
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Kindergarten",93
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  1",72
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  2",81
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  3",72
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  4",76
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  5",77
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade  9",738
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade 10",742
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade 11",708
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade 12",682
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Early Education",10
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Pre-kindergarten",27
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Kindergarten",95
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  1",89
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  2",79
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  3",57
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  4",89
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  5",75
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Kindergarten",80
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  1",133
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  2",114
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  3",130
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  4",143
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  5",141
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Pre-kindergarten",52
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Kindergarten",56
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  1",59
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  2",62
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  3",55
