PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Two or More Races",24
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"White",213
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Black or African American",103
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"American Indian or Alaska Native",6
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Asian",157
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Hispanic",1015
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Native Hawaiian/Other or Pacific Islander",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Two or More Races",128
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"White",1482
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Black or African American",24
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Asian",5
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Hispanic",193
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Two or More Races",19
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"White",314
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Black or African American",45
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Hispanic",315
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Two or More Races",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"White",11
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Black or African American",21
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Hispanic",416
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Two or More Races",8
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"White",10
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Black or African American",11
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Asian",16
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Hispanic",74
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Two or More Races",18
