,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
28,2015-2016,AUSTIN ISD,Martin Middle School,456,419,456,364,Middle,100.0
29,2015-2016,AUSTIN ISD,Murchison Middle,1365,347,2,420,Middle,0.14652014652014653
30,2015-2016,AUSTIN ISD,Webb Middle School,699,666,699,575,Middle,100.0
31,2015-2016,AUSTIN ISD,Bedichek Middle,908,731,908,603,Middle,100.0
32,2015-2016,AUSTIN ISD,Dobie Middle,634,579,634,492,Middle,100.0
33,2015-2016,AUSTIN ISD,Covington Middle School,641,400,7,354,Middle,1.0920436817472698
34,2015-2016,AUSTIN ISD,Mendez Middle School,790,741,790,652,Middle,100.0
35,2015-2016,AUSTIN ISD,Bailey Middle School,872,234,2,288,Middle,0.22935779816513763
36,2015-2016,AUSTIN ISD,Small Middle School,1006,310,5,351,Middle,0.4970178926441352
37,2015-2016,AUSTIN ISD,Paredes Middle School,997,723,997,613,Middle,100.0
38,2015-2016,AUSTIN ISD,Gorzycki Middle,1341,64,0,192,Middle,0.0
39,2015-2016,AUSTIN ISD,Garcia Ymla,425,399,425,339,Other,100.0
40,2015-2016,AUSTIN ISD,Sadler Means Ywla,369,328,369,297,Middle,100.0
41,2015-2016,AUSTIN ISD,Allison Elementary School,545,521,545,412,Elementary,100.0
42,2015-2016,AUSTIN ISD,Andrews Elementary School,594,570,594,524,Elementary,100.0
43,2015-2016,AUSTIN ISD,Barton Hills Elementary School,407,31,2,81,Elementary,0.4914004914004914
44,2015-2016,AUSTIN ISD,Becker Elementary School,377,161,377,153,Elementary,100.0
45,2015-2016,AUSTIN ISD,Blackshear Elementary School,291,236,291,158,Elementary,100.0
46,2015-2016,AUSTIN ISD,Blanton Elementary School,479,392,479,368,Elementary,100.0
47,2015-2016,AUSTIN ISD,Brentwood Elementary School,617,161,2,242,Elementary,0.3241491085899514
48,2015-2016,AUSTIN ISD,Brooke Elementary School,254,239,254,172,Elementary,100.0
49,2015-2016,AUSTIN ISD,Brown Elementary School,358,343,358,313,Elementary,100.0
50,2015-2016,AUSTIN ISD,Bryker Woods Elementary School,400,39,0,99,Elementary,0.0
51,2015-2016,AUSTIN ISD,Campbelementary Schooll Elementary School,220,206,220,130,Elementary,100.0
52,2015-2016,AUSTIN ISD,Casis Elementary School,793,17,2,119,Elementary,0.25220680958385877
53,2015-2016,AUSTIN ISD,Cunningham Elementary School,415,262,415,211,Elementary,100.0
54,2015-2016,AUSTIN ISD,Dawson Elementary School,382,316,382,234,Elementary,100.0
55,2015-2016,AUSTIN ISD,Daep- Elementary School,16,14,0,13,Elementary,0.0
56,2015-2016,AUSTIN ISD,Govalle Elementary School,501,449,501,336,Elementary,100.0
57,2015-2016,AUSTIN ISD,Gullett Elementary School,574,37,2,97,Elementary,0.34843205574912894
58,2015-2016,AUSTIN ISD,Harris Elementary School,629,607,629,561,Elementary,100.0
59,2015-2016,AUSTIN ISD,Highland Park Elementary School,622,30,0,134,Elementary,0.0
60,2015-2016,AUSTIN ISD,Joslin Elementary School,282,210,282,163,Elementary,100.0
61,2015-2016,AUSTIN ISD,Lee Elementary School,375,51,0,87,Elementary,0.0
62,2015-2016,AUSTIN ISD,Maplewood Elementary School,462,199,8,150,Elementary,1.7316017316017316
63,2015-2016,AUSTIN ISD,Mathews Elementary School,425,153,425,164,Elementary,100.0
64,2015-2016,AUSTIN ISD,Metz Elementary School,305,265,305,222,Elementary,100.0
65,2015-2016,AUSTIN ISD,Oak Springs Elementary School,333,315,333,200,Elementary,100.0
66,2015-2016,AUSTIN ISD,Ortega Elementary School,316,283,316,216,Elementary,100.0
