year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2017-2018,AUSTIN ISD,Graduation Prep Academy Travis,164,121,2,159,Other,1.2195121951219512,,,,1211 E OLTORF,78704.0,Graduation Prep Academy Travis
2017-2018,AUSTIN ISD,Graduation Prep Academy Lanier,77,49,5,75,Other,6.493506493506493,,,,1201 PAYTON GIN RD,78758.0,Graduation Prep Academy Lanier
2017-2018,AUSTIN ISD,International High School,191,185,25,184,High,13.089005235602095,30.257113,-97.68205999999999,public,1012 ARTHUR STILES,78721.0,International High School
2017-2018,AUSTIN ISD,Fulmore Middle School,998,641,998,530,Middle,100.0,30.243927000000003,-97.750465,public,201 E MARY ST,78704.0,Fulmore Middle School
2017-2018,AUSTIN ISD,Kealing Middle School,1223,381,1223,261,Middle,100.0,30.270937,-97.72178000000001,public,1607 PENNSYLVANIA AVE,78702.0,Kealing Middle School
2017-2018,AUSTIN ISD,Lamar Middle School,1130,234,12,351,Middle,1.0619469026548674,30.337774,-97.74058000000001,public,6201 WYNONA AVE,78757.0,Lamar Middle School
2017-2018,AUSTIN ISD,Burnet Middle School,967,873,967,803,Middle,100.0,30.365074,-97.7256,public,8401 HATHAWAY DR,78757.0,Burnet Middle School
2017-2018,AUSTIN ISD,O Henry Middle,862,248,18,316,Middle,2.0881670533642693,,,,2610 W 10TH ST,78703.0,O Henry Middle
2017-2018,AUSTIN ISD,Martin Middle,450,419,450,366,Middle,100.0,,,,1601 HASKELL ST,78702.0,Martin Middle
2017-2018,AUSTIN ISD,Murchison Middle,1392,298,10,464,Middle,0.7183908045977011,,,,3700 N HILLS DR,78731.0,Murchison Middle
2017-2018,AUSTIN ISD,Webb Middle School,664,623,664,542,Middle,100.0,30.332413,-97.70740500000001,public,601 E ST JOHNS AVE,78752.0,Webb Middle School
2017-2018,AUSTIN ISD,Bedichek Middle,846,718,846,571,Middle,100.0,,,,6800 BILL HUGHES RD,78745.0,Bedichek Middle
2017-2018,AUSTIN ISD,Dobie Middle,579,534,579,465,Middle,100.0,,,,1200 RUNDBERG LN,78753.0,Dobie Middle
2017-2018,AUSTIN ISD,Covington Middle,660,389,165,368,Middle,25.0,,,,3700 CONVICT HILL RD,78749.0,Covington Middle
2017-2018,AUSTIN ISD,Mendez Middle School,646,583,646,554,Middle,100.0,30.188675,-97.74306,public,5106 VILLAGE SQ DR,78744.0,Mendez Middle School
2017-2018,AUSTIN ISD,Bailey Middle School,1006,316,9,404,Middle,0.8946322067594433,30.164225,-97.87241999999999,public,4020 LOST OASIS HOLLOW,78739.0,Bailey Middle School
2017-2018,AUSTIN ISD,Small Middle School,1231,316,14,443,Middle,1.1372867587327375,30.233706,-97.84200000000001,public,4801 MONTEREY OAKS BLVD,78749.0,Small Middle School
2017-2018,AUSTIN ISD,Paredes Middle School,892,653,892,586,Middle,100.0,30.165659,-97.81159,public,10100 S MARY MOORE SEARIGHT DR,78748.0,Paredes Middle School
2017-2018,AUSTIN ISD,Gorzycki Middle,1275,60,5,205,Middle,0.392156862745098,,,,7412 SLAUGHTER LN,78749.0,Gorzycki Middle
2017-2018,AUSTIN ISD,Garcia Ymla,390,357,390,323,Other,100.0,30.311397999999997,-97.64303000000001,public,7414 JOHNNY MORRIS RD,78724.0,Garcia Ymla
2017-2018,AUSTIN ISD,Sadler Means Ywla,388,359,388,309,Middle,100.0,30.313578000000003,-97.68073000000001,public,6401 N HAMPTON DR,78723.0,Sadler Means Ywla
