year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2014-2015,AUSTIN ISD,Norman Elementary School,299,287,299,183,Elementary,100.0,30.278323999999998,-97.67397,public,4001 TANNEHILL LN,78721.0,Norman Elementary School
2014-2015,AUSTIN ISD,Pillow Elementary School,582,422,139,369,Elementary,23.88316151202749,30.369263,-97.73339,public,3025 CROSSCREEK DR,78757.0,Pillow Elementary School
2014-2015,AUSTIN ISD,Wooldridge Elementary School,572,550,572,497,Elementary,100.0,30.364952000000002,-97.70985,public,1412 NORSEMAN TER,78758.0,Wooldridge Elementary School
2014-2015,AUSTIN ISD,Doss Elementary School,919,120,2,224,Elementary,0.2176278563656148,30.356087,-97.76281,public,7005 NORTHLEDGE DR,78731.0,Doss Elementary School
2014-2015,AUSTIN ISD,Hill Elementary School,890,82,0,177,Elementary,0.0,30.376625,-97.74854,public,8601 TALLWOOD DR,78759.0,Hill Elementary School
2014-2015,AUSTIN ISD,Odom Elementary School,546,499,546,352,Elementary,100.0,30.20562,-97.78878,public,1010 TURTLE CREEK BLVD,78745.0,Odom Elementary School
2014-2015,AUSTIN ISD,Winn Elementary School,338,328,338,261,Elementary,100.0,30.314882,-97.66498,public,3500 SUSQUEHANNA LN,78723.0,Winn Elementary School
2014-2015,AUSTIN ISD,Sunset Valley Elementary School,518,339,123,300,Elementary,23.745173745173744,,,,3000 JONES RD,78745.0,Sunset Valley Elementary School
2014-2015,AUSTIN ISD,Graham Elementary School,768,674,768,539,Elementary,100.0,30.372359999999997,-97.66886,public,11211 TOM ADAMS DR,78753.0,Graham Elementary School
2014-2015,AUSTIN ISD,Linder Elementary School,412,396,412,314,Elementary,100.0,30.224209000000002,-97.73794000000001,public,2800 METCALFE RD,78741.0,Linder Elementary School
2014-2015,AUSTIN ISD,Cook Elementary School,643,619,643,556,Elementary,100.0,30.378002000000002,-97.70482,public,1511 CRIPPLE CREEK DR,78758.0,Cook Elementary School
2014-2015,AUSTIN ISD,Houston Elementary School,765,743,765,563,Elementary,100.0,30.196468,-97.75506999999999,public,5409 PONCIANA DR,78744.0,Houston Elementary School
2014-2015,AUSTIN ISD,Hart Elementary School,717,695,717,638,Elementary,100.0,30.342451,-97.68871,public,8301 FURNESS,78753.0,Hart Elementary School
2014-2015,AUSTIN ISD,Pickle Elementary School,746,725,746,670,Elementary,100.0,30.333408000000002,-97.693825,public,1101 WHEATLEY,78752.0,Pickle Elementary School
2014-2015,AUSTIN ISD,Mcbee Elementary School,531,507,531,451,Elementary,100.0,30.38325,-97.69106,public,1101 W BRAKER LN,78758.0,Mcbee Elementary School
2014-2015,AUSTIN ISD,Williams Elementary School,513,429,513,282,Elementary,100.0,30.180972999999998,-97.79151,public,500 MAIRO ST,78748.0,Williams Elementary School
2014-2015,AUSTIN ISD,Langford Elementary School,741,701,741,587,Elementary,100.0,30.182083000000002,-97.76337,public,2206 BLUE MEADOW DR,78744.0,Langford Elementary School
2014-2015,AUSTIN ISD,Boone Elementary School,499,219,5,114,Elementary,1.002004008016032,30.203723999999998,-97.840225,public,8101 CROFTWOOD RD,78749.0,Boone Elementary School
2014-2015,AUSTIN ISD,Palm Elementary School,516,430,516,327,Elementary,100.0,30.164824,-97.743675,public,7601 DIXIE DR,78744.0,Palm Elementary School
2014-2015,AUSTIN ISD,Kocurek Elementary School,539,379,2,258,Elementary,0.3710575139146568,30.177746000000003,-97.83525,public,9800 CURLEW DR,78748.0,Kocurek Elementary School
2014-2015,AUSTIN ISD,Casey Elementary School,665,451,127,287,Elementary,19.097744360902254,30.177266999999997,-97.81461,public,9400 TEXAS OAKS DR,78748.0,Casey Elementary School
2014-2015,AUSTIN ISD,Rodriguez Elementary School,793,772,793,633,Elementary,100.0,30.200659,-97.74725,public,4400 FRANKLIN PARK DR,78744.0,Rodriguez Elementary School
2014-2015,AUSTIN ISD,Widen Elementary School,589,559,589,447,Elementary,100.0,30.188713,-97.74008,public,5605 NUCKOLS CROSSING RD,78744.0,Widen Elementary School
2014-2015,AUSTIN ISD,Galindo Elementary School,591,544,591,429,Elementary,100.0,30.229516999999998,-97.7719,public,3800 S 2ND ST,78704.0,Galindo Elementary School
2014-2015,AUSTIN ISD,Uphaus Early Childhood Center,236,225,236,168,Elementary,100.0,,,,5200 FREIDRICH LN,78744.0,Uphaus Early Childhood Center
2014-2015,AUSTIN ISD,Jordan Elementary School,762,739,762,605,Elementary,100.0,30.301088,-97.646774,public,6711 JOHNNY MORRIS RD,78724.0,Jordan Elementary School
2014-2015,AUSTIN ISD,Davis Elementary School,739,176,2,237,Elementary,0.2706359945872801,30.418246999999997,-97.74218,public,5214 DUVAL RD,78727.0,Davis Elementary School
2014-2015,AUSTIN ISD,Kiker Elementary School,1022,31,0,211,Elementary,0.0,30.191557,-97.88125600000001,public,5913 LA CROSSE AVE,78739.0,Kiker Elementary School
2014-2015,AUSTIN ISD,Mills Elementary School,802,57,0,195,Elementary,0.0,30.210917,-97.8782,public,6201 DAVIS LN,78749.0,Mills Elementary School
2014-2015,AUSTIN ISD,Baranoff Elementary School,994,112,2,249,Elementary,0.2012072434607646,30.153902000000002,-97.852165,public,12009 BUCKINGHAM GATE RD,78748.0,Baranoff Elementary School
2014-2015,AUSTIN ISD,Cowan Elementary School,800,253,7,218,Elementary,0.875,30.188688,-97.83348000000001,public,2817 KENTISH DR,78748.0,Cowan Elementary School
2014-2015,AUSTIN ISD,Clayton Elementary School,881,27,0,140,Elementary,0.0,30.194855,-97.906334,public,7525 LA CROSSE AVE,78739.0,Clayton Elementary School
2014-2015,AUSTIN ISD,Blazier Elementary School,967,738,967,580,Elementary,100.0,30.158,-97.754295,public,8601 NUCKOLS CROSSING RD,78744.0,Blazier Elementary School
2014-2015,AUSTIN ISD,Guerrero Thompson,690,675,2,615,Middle,0.2898550724637681,30.363888,-97.691666,public,102 E RUNDBERG,78753.0,Guerrero Thompson
2014-2015,AUSTIN ISD,Baldwin Elementary School,742,85,0,176,Elementary,0.0,30.184890000000003,-97.923454,public,12200 MERIDIAN PARK BLVD,78739.0,Baldwin Elementary School
2014-2015,AUSTIN ISD,Padron Elementary School,693,676,224,603,Elementary,32.323232323232325,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Padron Elementary School
2014-2015,AUSTIN ISD,Overton Elementary School,650,623,650,503,Elementary,100.0,30.300186,-97.6367,public,7201 COLONY LOOP DR,78724.0,Overton Elementary School
2014-2015,AUSTIN ISD,Perez Elementary School,804,739,804,579,Elementary,100.0,30.17085,-97.75624,public,7500 S PLEASANT VLY RD,78744.0,Perez Elementary School
2014-2015,AUSTIN ISD,Dobie Pk Center,256,252,0,196,Other,0.0,,,,1200 RUNDBERG LN,78753.0,Dobie Pk Center
2014-2015,AUSTIN ISD,Webb Pri Center,249,242,249,231,Elementary,100.0,,,,601 E ST JOHNS AVE,78752.0,Webb Pri Center
2014-2015,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0,,,,4900 MUELLER BLVD,78723.0,Delementary Schooll Children'S Medical Center
2014-2015,AUSTIN ISD,Austin St Hospital,20,0,0,20,High,0.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Austin St Hospital
2014-2015,AUSTIN ISD,Rosedale,239,94,0,132,Elementary,0.0,30.320051,-97.74019,public,2117 W 49TH ST,78756.0,Rosedale
2015-2016,AUSTIN ISD,Austin High School,2084,597,15,871,High,0.7197696737044146,30.273598,-97.76814,public,1715 W CESAR CHAVEZ,78703.0,Austin High School
2015-2016,AUSTIN ISD,Lanier High School,1615,1407,1615,1247,High,100.0,30.360209,-97.70832,public,1201 PEYTON GIN RD,78758.0,Lanier High School
2015-2016,AUSTIN ISD,Mccallum High School,1738,502,19,736,High,1.093210586881473,30.327484000000002,-97.72887,public,5600 SUNSHINE DR,78756.0,Mccallum High School
2015-2016,AUSTIN ISD,Reagan High School,1302,1040,1302,1001,High,100.0,30.324188,-97.69135,public,7104 BERKMAN DR,78752.0,Reagan High School
2015-2016,AUSTIN ISD,Travis High School,1291,1059,1290,1008,High,99.92254066615028,30.233839,-97.743256,public,1211 E OLTORF ST,78704.0,Travis High School
2015-2016,AUSTIN ISD,Crockett High School,1462,870,38,894,High,2.5991792065663475,30.214724,-97.79739000000001,public,5601 MANCHACA RD,78745.0,Crockett High School
2015-2016,AUSTIN ISD,Anderson High School,2270,518,16,756,High,0.7048458149779736,30.37575,-97.75371,public,8403 MESA DR,78759.0,Anderson High School
2015-2016,AUSTIN ISD,Alternative Learning Center,116,94,2,110,High,1.7241379310344829,30.268434999999997,-97.71007,public,900 NEAL ST,78702.0,Alternative Learning Center
2015-2016,AUSTIN ISD,Bowie High School,2912,346,9,764,High,0.3090659340659341,30.186369,-97.85873000000001,public,4103 SLAUGHTER LN,78749.0,Bowie High School
2015-2016,AUSTIN ISD,Lbj Highigh Schoolchool,874,680,874,641,High,100.0,,,,7309 LAZY CREEK DR,78724.0,Lbj Highigh Schoolchool
2015-2016,AUSTIN ISD,Garza Independence High School,192,56,8,154,High,4.166666666666667,30.277237,-97.72139,public,1600 CHICON,78702.0,Garza Independence High School
2015-2016,AUSTIN ISD,Akins High School,2713,1798,43,1712,High,1.58496129745669,30.148984999999996,-97.80185999999999,public,10701 S 1ST ST,78748.0,Akins High School
2015-2016,AUSTIN ISD,Lasa High School,1016,89,0,29,High,0.0,30.313496,-97.65666999999999,public,7309 LAZY CREEK DR,78724.0,Lasa High School
2015-2016,AUSTIN ISD,Eastside Memorial At The Johnston,551,479,551,458,High,100.0,,,,,,
2015-2016,AUSTIN ISD,Graduation Prep Academy Travis,123,95,6,119,Other,4.878048780487805,,,,1211 E OLTORF,78704.0,Graduation Prep Academy Travis
2015-2016,AUSTIN ISD,Graduation Prep Academy Lanier,124,98,10,120,Other,8.064516129032258,,,,1201 PAYTON GIN RD,78758.0,Graduation Prep Academy Lanier
2015-2016,AUSTIN ISD,Travis County Day School,6,2,2,6,High,33.333333333333336,30.335696999999996,-97.68336,public,8011 CAMERON RD STE B,78754.0,Travis County Day School
2015-2016,AUSTIN ISD,Richards Sch For Young Women Leade,787,457,0,122,High,0.0,,,,,,
2015-2016,AUSTIN ISD,International High School,294,284,12,291,High,4.081632653061225,30.257113,-97.68205999999999,public,1012 ARTHUR STILES,78721.0,International High School
2015-2016,AUSTIN ISD,Travis County Juvenile Detention C,41,20,2,41,Other,4.878048780487805,,,,,,
2015-2016,AUSTIN ISD,Phoenix Academy,34,5,2,34,High,5.882352941176472,30.24414,-97.75614,public,400 W LIVE OAK,78704.0,Phoenix Academy
2015-2016,AUSTIN ISD,Leadership Academy,27,13,0,27,High,0.0,30.235638,-97.75366,public,2515 S CONGRESS,78704.0,Leadership Academy
2015-2016,AUSTIN ISD,Travis County J J A E P,2,2,0,2,Other,0.0,,,,1111 W 6TH ST,78703.0,Travis County J J A E P
2015-2016,AUSTIN ISD,Fulmore Middle School,1007,684,1007,512,Middle,100.0,30.243927000000003,-97.750465,public,201 E MARY ST,78704.0,Fulmore Middle School
2015-2016,AUSTIN ISD,Kealing Middle School,1203,367,1203,287,Middle,100.0,30.270937,-97.72178000000001,public,1607 PENNSYLVANIA AVE,78702.0,Kealing Middle School
2015-2016,AUSTIN ISD,Lamar Middle School,972,290,2,307,Middle,0.20576131687242802,30.337774,-97.74058000000001,public,6201 WYNONA AVE,78757.0,Lamar Middle School
2015-2016,AUSTIN ISD,Burnet Middle School,1020,925,1020,815,Middle,100.0,30.365074,-97.7256,public,8401 HATHAWAY DR,78757.0,Burnet Middle School
2015-2016,AUSTIN ISD,O Henry Middle School,931,221,2,273,Middle,0.21482277121374865,30.285491999999998,-97.77376,public,,,
2015-2016,AUSTIN ISD,Martin Middle School,456,419,456,364,Middle,100.0,30.253086,-97.72986999999999,public,,,
2015-2016,AUSTIN ISD,Murchison Middle,1365,347,2,420,Middle,0.14652014652014653,,,,3700 N HILLS DR,78731.0,Murchison Middle
2015-2016,AUSTIN ISD,Webb Middle School,699,666,699,575,Middle,100.0,30.332413,-97.70740500000001,public,601 E ST JOHNS AVE,78752.0,Webb Middle School
2015-2016,AUSTIN ISD,Bedichek Middle,908,731,908,603,Middle,100.0,,,,6800 BILL HUGHES RD,78745.0,Bedichek Middle
2015-2016,AUSTIN ISD,Dobie Middle,634,579,634,492,Middle,100.0,,,,1200 RUNDBERG LN,78753.0,Dobie Middle
2015-2016,AUSTIN ISD,Covington Middle School,641,400,7,354,Middle,1.0920436817472698,30.211359,-97.83413,public,,,
2015-2016,AUSTIN ISD,Mendez Middle School,790,741,790,652,Middle,100.0,30.188675,-97.74306,public,5106 VILLAGE SQ DR,78744.0,Mendez Middle School
2015-2016,AUSTIN ISD,Bailey Middle School,872,234,2,288,Middle,0.22935779816513766,30.164225,-97.87241999999999,public,4020 LOST OASIS HOLLOW,78739.0,Bailey Middle School
