"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","GRADEGRP1X","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL HOMELESS STUDENTS","TOTAL DYSLEXIC STUDENTS"
"2016-2017","CASEY EL",227901173,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",633,18,0,117,167,18,377,633,275,-9999999,-9999999,61,6,19
"2016-2017","RODRIGUEZ EL",227901174,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",591,17,0,339,323,17,563,591,446,0,-9999999,42,8,12
"2016-2017","WIDEN EL",227901175,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",558,11,0,284,247,37,479,558,418,-9999999,0,68,5,14
"2016-2017","GALINDO EL",227901176,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",590,22,0,353,295,56,500,590,436,0,9,80,9,40
"2016-2017","UPHAUS EARLY CHILDHOOD CENTER",227901177,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",299,0,0,177,164,12,249,299,207,-9999999,-9999999,46,-9999999,0
"2016-2017","JORDAN EL",227901178,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",712,11,0,475,460,13,626,712,577,-9999999,-9999999,67,12,15
"2016-2017","DAVIS EL",227901179,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",815,77,0,152,34,116,172,-9999999,303,8,-9999999,67,5,29
"2016-2017","KIKER EL",227901180,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",1049,126,0,63,0,62,28,0,192,11,-9999999,103,0,106
"2016-2017","MILLS EL",227901181,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",843,56,0,73,0,70,61,0,158,7,0,63,0,25
"2016-2017","BARANOFF EL",227901182,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",1020,50,0,60,0,54,118,-9999999,222,13,7,71,-9999999,58
"2016-2017","COWAN EL",227901183,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",839,40,0,62,11,46,246,268,246,11,9,87,24,47
"2016-2017","CLAYTON EL",227901184,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",855,110,0,57,0,53,10,0,134,-9999999,0,71,0,27
"2016-2017","BLAZIER EL",227901185,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",813,22,0,265,316,28,572,813,454,15,5,72,-9999999,39
"2016-2017","GUERRERO THOMPSON",227901186,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",667,15,0,566,495,70,545,667,601,0,-9999999,68,-9999999,9
"2016-2017","BALDWIN EL",227901187,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",794,62,0,94,44,48,88,0,183,-9999999,-9999999,81,0,31
"2016-2017","PADRON EL",227901188,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",797,12,0,654,621,32,647,797,701,0,-9999999,74,-9999999,23
