"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901028,"RICHARDS SCH FOR YOUNG WOMEN LEADE",227,"TRAVIS COUNTY",13,764,235,764,20,0,20,451,0,94,-9999999,-9999999,7,7
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901029,"INTERNATIONAL H S",227,"TRAVIS COUNTY",13,368,0,0,356,0,356,343,10,356,0,0,-9999999,0
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901030,"TRAVIS COUNTY JUVENILE DETENTION C",227,"TRAVIS COUNTY",13,58,0,0,10,0,9,34,0,58,0,0,16,7
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901032,"PHOENIX ACADEMY",227,"TRAVIS COUNTY",13,32,0,0,-9999999,0,-9999999,-9999999,0,32,0,0,5,-9999999
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901035,"LEADERSHIP ACADEMY",227,"TRAVIS COUNTY",13,39,0,0,12,0,12,15,0,39,0,0,13,-9999999
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901036,"TRAVIS COUNTY J J A E P",227,"TRAVIS COUNTY",13,-9999999,0,0,-9999999,0,-9999999,-9999999,-9999999,-9999999,0,0,0,-9999999
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901043,"FULMORE M S",227,"TRAVIS COUNTY",13,952,223,278,217,0,210,684,952,442,0,0,124,81
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901044,"KEALING M S",227,"TRAVIS COUNTY",13,1188,498,316,76,0,74,395,1188,262,0,0,97,44
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901045,"LAMAR M S",227,"TRAVIS COUNTY",13,895,102,577,57,0,55,307,6,289,0,0,93,46
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901046,"BURNET M S",227,"TRAVIS COUNTY",13,1138,53,565,538,0,534,1056,1138,835,0,-9999999,159,74
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901047,"O HENRY M S",227,"TRAVIS COUNTY",13,891,97,331,55,0,54,265,-9999999,249,6,0,82,81
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901051,"MARTIN M S",227,"TRAVIS COUNTY",13,555,22,257,167,0,158,521,555,417,0,0,107,70
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901052,"MURCHISON M S",227,"TRAVIS COUNTY",13,1363,113,683,104,0,104,378,7,403,-9999999,0,119,64
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901053,"WEBB M S",227,"TRAVIS COUNTY",13,691,34,340,322,0,321,670,691,524,0,0,117,56
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901054,"BEDICHEK M S",227,"TRAVIS COUNTY",13,969,72,575,204,0,196,807,969,565,-9999999,0,166,108
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901055,"DOBIE M S",227,"TRAVIS COUNTY",13,691,23,302,270,0,266,633,691,463,0,0,120,50
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901057,"COVINGTON M S",227,"TRAVIS COUNTY",13,634,40,271,105,0,100,412,-9999999,319,-9999999,0,113,66
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901058,"MENDEZ M S",227,"TRAVIS COUNTY",13,842,40,402,338,0,328,801,842,642,-9999999,0,110,81
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901059,"BAILEY M S",227,"TRAVIS COUNTY",13,917,59,390,37,0,33,300,11,311,5,0,98,76
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901060,"SMALL M S",227,"TRAVIS COUNTY",13,1003,110,597,66,0,61,323,10,301,-9999999,0,108,62
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901061,"PAREDES M S",227,"TRAVIS COUNTY",13,1032,52,373,203,0,193,759,1032,585,-9999999,0,133,90
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901062,"GORZYCKI MIDDLE",227,"TRAVIS COUNTY",13,1330,185,584,25,0,22,61,-9999999,148,0,0,105,85
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901064,"SCHOOL FOR YOUNG MEN",227,"TRAVIS COUNTY",13,391,23,294,151,0,148,377,166,290,0,-9999999,80,58
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901065,"SADLER MEANS YWLA",227,"TRAVIS COUNTY",13,341,16,259,140,0,139,319,166,262,0,0,41,28
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901101,"ALLISON EL",227,"TRAVIS COUNTY",13,487,-9999999,0,207,185,18,466,487,350,0,0,41,13
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901102,"ANDREWS EL",227,"TRAVIS COUNTY",13,657,12,0,458,411,46,640,657,562,0,0,63,11
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901103,"BARTON HILLS EL",227,"TRAVIS COUNTY",13,419,17,0,8,0,6,34,-9999999,77,0,0,19,6
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901104,"BECKER EL",227,"TRAVIS COUNTY",13,344,41,0,64,200,-9999999,169,344,154,0,-9999999,23,7
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901105,"BLACKSHEAR EL",227,"TRAVIS COUNTY",13,276,14,0,86,34,51,252,276,167,0,0,30,18
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901106,"BLANTON EL",227,"TRAVIS COUNTY",13,542,19,0,329,361,12,472,542,405,0,0,49,15
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901107,"BRENTWOOD EL",227,"TRAVIS COUNTY",13,581,44,0,67,39,22,173,-9999999,198,5,7,61,30
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901108,"BROOKE EL",227,"TRAVIS COUNTY",13,347,-9999999,0,117,96,20,317,347,218,0,0,44,10
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901109,"BROWN EL",227,"TRAVIS COUNTY",13,411,12,0,276,258,18,392,411,330,-9999999,-9999999,40,10
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901110,"BRYKER WOODS EL",227,"TRAVIS COUNTY",13,393,23,0,7,-9999999,5,40,-9999999,67,-9999999,0,23,12
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901111,"CAMPBELL EL",227,"TRAVIS COUNTY",13,253,-9999999,0,57,49,6,243,253,149,-9999999,0,32,7
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901112,"CASIS EL",227,"TRAVIS COUNTY",13,806,30,0,12,-9999999,10,23,0,124,0,0,51,33
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901113,"CUNNINGHAM EL",227,"TRAVIS COUNTY",13,405,14,0,67,90,12,278,36,220,0,-9999999,72,20
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901114,"DAWSON EL",227,"TRAVIS COUNTY",13,335,19,0,95,104,22,289,335,195,-9999999,-9999999,75,15
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901115,"DAEP- EL",227,"TRAVIS COUNTY",13,10,0,0,5,-9999999,-9999999,9,-9999999,10,0,0,-9999999,0
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901116,"GOVALLE EL",227,"TRAVIS COUNTY",13,547,39,0,199,185,10,497,547,394,-9999999,-9999999,59,8
