,Campus Name,2011-2012 Enrollment,2012-2013 Enrollment,2013-2014 Enrollment,2014-2015 Enrollment,2015-2016 Enrollment,2016-2017 Enrollment,2017-2018 Enrollment,2011 Enroll. Y-Y,2012 Enroll. Y-Y,2013 Enroll. Y-Y,2014 Enroll. Y-Y,2015 Enroll. Y-Y,2016 Enroll. Y-Y,2012,2013,2014,2015,2016,2017
125,IDEA ALLAN ACADEMY,0.0,334.0,0.0,0.0,0.0,0.0,0.0,-334.0,334.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0
126,IDEA ALLAN COLLEGE PREP,0.0,215.0,0.0,0.0,0.0,0.0,0.0,-215.0,215.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0
127,PREMIER H S AT LANIER,0.0,103.0,138.0,122.0,0.0,0.0,0.0,-103.0,-35.0,16.0,122.0,0.0,0.0,103.0,138.0,122.0,0.0,0.0,0.0
128,PREMIER H S AT TRAVIS,0.0,94.0,159.0,133.0,0.0,0.0,0.0,-94.0,-65.0,26.0,133.0,0.0,0.0,94.0,159.0,133.0,0.0,0.0,0.0
129,UPHAUS EARLY CHILDHOOD CENTER,0.0,252.0,301.0,236.0,271.0,299.0,340.0,-252.0,-49.0,65.0,-35.0,-28.0,-41.0,252.0,301.0,236.0,271.0,299.0,340.0
130,WEBB PRI CENTER,0.0,164.0,207.0,250.0,218.0,262.0,246.0,-164.0,-43.0,-43.0,32.0,-44.0,16.0,164.0,207.0,250.0,218.0,262.0,246.0
131,DELL CHILDREN'S MEDICAL CENTER,0.0,0.0,4.0,6.0,4.0,6.0,0.0,0.0,-4.0,-2.0,2.0,-2.0,6.0,0.0,4.0,6.0,4.0,6.0,0.0
132,GUERRERO THOMPSON,0.0,0.0,668.0,690.0,672.0,667.0,632.0,0.0,-668.0,-22.0,18.0,5.0,35.0,0.0,668.0,690.0,672.0,667.0,632.0
133,PADRON EL,0.0,0.0,0.0,692.0,770.0,797.0,758.0,0.0,0.0,-692.0,-78.0,-27.0,39.0,0.0,0.0,692.0,770.0,797.0,758.0
134,SADLER MEANS YWLA,0.0,0.0,0.0,341.0,369.0,399.0,388.0,0.0,0.0,-341.0,-28.0,-30.0,11.0,0.0,0.0,341.0,369.0,399.0,388.0
