,address,enrollment,gradeRange,gsId,gsRating,lat,level_0,lon,name,ncesId,parentRating,type
426,"2007 University Avenue, 
Austin, TX  78705",10,9-12,25112,4,30.283306,,-97.73917,University High School,,,charter
427,"2200 East 6th Street, 
Austin, TX  78702",53,K-12,9366,1,30.260305,,-97.71761,George M Kometzky School,480007109072,,charter
428,"5100 Pecan Brook Drive, 
Austin, TX  78724",475,PK-8,25022,3,30.317167,,-97.65826,Magnolia Montessori For All,,,charter
429,"1106 West Dittmar Road, 
Austin, TX  78745",73,K-12,9929,1,30.18896,,-97.8058,Tnc Campus (Texas Neurorehabilitat,480007109408,,charter
430,"3804 Avenue B, 
Austin, TX  78751",24,K-7,18838,,30.302364,,-97.73645,Helping Hand,480007112104,,charter
431,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",431,6-12,24673,3,30.191423,,-97.767136,Sci-Tech Preparatory,,,charter
432,"8509 Farm to Market 969, 
Austin, TX  78724",426,5-8,20398,4,30.27235,,-97.638405,Kipp Austin Beacon Prep,,,charter
433,"8509 Farm to Market 969, 
Austin, TX  78724",431,5-8,20399,4,30.27235,,-97.638405,Kipp Austin Vista Middle Schools,,,charter
434,"8509 Farm to Market 969, 
Austin, TX  78724",601,PK-4,20401,3,30.27235,,-97.638405,Kipp Austin Connections Elementary School,480026412559,,charter
435,"1211 East Oltorf Street, 
Austin, TX  78704",123,9-12,20405,1,30.233839,,-97.743256,Premier High School At Travis,,,charter
436,"1201 Payton Gin Road, 
Austin, TX  78758",124,9-12,20406,1,30.360209,,-97.70832,Premier High School At Lanier,,,charter
437,"1015 Norwood Park Boulevard, 
Austin, TX  78753",147,9-12,25102,,30.339088,,-97.69408,The Excel Center (For Adults),,,charter
438,"1701 Vargas Road, 
Austin, TX  78741",1374,6-12,24649,7,30.226158,,-97.699524,IDEA Montopolis College Preparatory,480021112940,,charter
439,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",471,K-4,24677,3,30.204409,,-97.75847,KIPP Austin Leadership Elementary School,,,charter
440,"3711 Shoreline Drive, 
Austin, TX  78728",,PK-9,24723,,30.457558,,-97.688,Athlos Leadership Academy- Austin,480017912987,,charter
441,"2124 East Saint Elmo Road, 
Austin, TX  78744",468,K-5,24798,6,30.21006,,-97.74532,Harmony School of Innovation,,,charter
442,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",320,PK-4,24802,3,30.191423,,-97.767136,Altamira Academy,,,charter
443,"1407 West Stassney Lane, 
Austin, TX  78745",3,K-12,24857,,30.21135,,-97.792694,Austin Oaks,,,charter
444,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",940,K-5,24980,6,30.360958,,-97.687805,IDEA Rundberg Academy,480021113220,,charter
445,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",940,6-10,24981,6,30.360958,,-97.687805,IDEA Rundberg College Preparatory,,,charter
446,"1015 Norwood Park Boulevard, 
Austin, TX  78753",282,9-12,25244,,30.339088,,-97.69408,The Excel Center,,,charter
447,"8509 Farm to Market 969, 
Austin, TX  78724",,9-12,25309,,30.27235,,-97.638405,KIPP Austin Brave,,,charter
448,"6700 Middle Fiskville Road, 
Austin, TX  78752",,8-12,25310,8,30.329008,,-97.707436,Cedars Academy Next Generation H S at Highland,,,charter
449,"1700 East Slaughter Lane, 
Austin, TX  78744",,6-9,25331,6,30.153843,,-97.769135,Idea Bluff Springs College Preparatory,480021113523,,charter
450,"1700 East Slaughter Lane, 
Austin, TX  78744",,K-5,25437,,30.153843,,-97.769135,Idea Bluff Springs Academy,480021113510,,charter
451,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,9-12,25447,,30.339088,,-97.69408,Excel Center Lockhart,,,charter
452,"4800 Manor Road, 
Austin, TX  78723",,7-12,25584,,30.296387,,-97.68996,Kozmetsky At Rathgeber Village,,,charter
