Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2015-2016

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2015-2016",021901,"COLLEGE STATION ISD",06,13021,1532,2985,1057,815,575,4591,2085,3421,25,14,1101,510
"STATE","DISTRICT","2015-2016",021902,"BRYAN ISD",06,16164,2192,3640,3763,2718,1213,12066,11286,10804,15,20,1411,803
"STATE","DISTRICT","2015-2016",022004,"TERLINGUA CSD",18,86,6,13,32,0,32,63,86,48,0,0,10,0
"STATE","DISTRICT","2015-2016",022901,"ALPINE ISD",18,1082,76,363,97,0,93,516,1082,419,-9999999,0,93,19
"STATE","DISTRICT","2015-2016",022902,"MARATHON ISD",18,54,-9999999,13,0,0,0,42,54,9,0,0,6,0
"STATE","DISTRICT","2015-2016",022903,"SAN VICENTE ISD",18,31,0,0,0,0,0,14,0,8,0,0,-9999999,0
"STATE","DISTRICT","2015-2016",023902,"SILVERTON ISD",16,187,7,66,16,0,17,91,187,33,0,0,17,10
"STATE","DISTRICT","2015-2016",024901,"BROOKS COUNTY ISD",02,1542,59,433,41,0,38,1237,1542,1029,0,0,128,23
"STATE","DISTRICT","2015-2016",025901,"BANGS ISD",15,991,65,345,10,0,10,434,991,316,21,18,96,68
"STATE","DISTRICT","2015-2016",025902,"BROWNWOOD ISD",15,3705,230,1118,110,0,106,2352,3705,1464,62,97,317,89
"STATE","DISTRICT","2015-2016",025904,"BLANKET ISD",15,208,6,66,-9999999,0,-9999999,126,208,74,8,22,25,-9999999
"STATE","DISTRICT","2015-2016",025905,"MAY ISD",15,307,21,95,13,0,13,186,162,66,0,-9999999,32,-9999999
"STATE","DISTRICT","2015-2016",025906,"ZEPHYR ISD",15,199,17,87,0,0,0,130,199,85,-9999999,-9999999,14,9
"STATE","DISTRICT","2015-2016",025908,"BROOKESMITH ISD",15,171,5,32,-9999999,0,-9999999,96,171,86,-9999999,0,12,-9999999
"STATE","DISTRICT","2015-2016",025909,"EARLY ISD",15,1196,103,329,15,0,14,556,821,474,26,28,117,43
"STATE","DISTRICT","2015-2016",026901,"CALDWELL ISD",06,1795,97,512,186,31,152,974,1242,708,10,9,130,95
"STATE","DISTRICT","2015-2016",026902,"SOMERVILLE ISD",06,442,21,117,36,0,36,320,274,198,0,0,46,8
"STATE","DISTRICT","2015-2016",026903,"SNOOK ISD",06,509,34,134,23,0,23,367,509,277,-9999999,-9999999,52,12
"STATE","DISTRICT","2015-2016",027903,"BURNET CISD",13,3140,82,987,243,52,188,1772,2231,1330,40,7,324,179
"STATE","DISTRICT","2015-2016",027904,"MARBLE FALLS ISD",13,4174,303,1126,553,305,243,2619,2928,2084,22,23,450,151
"STATE","DISTRICT","2015-2016",028902,"LOCKHART ISD",13,5397,310,1567,930,509,241,3757,2786,3172,38,29,688,173
"STATE","DISTRICT","2015-2016",028903,"LULING ISD",13,1409,62,416,180,49,129,1001,1408,554,-9999999,6,129,47
"STATE","DISTRICT","2015-2016",028906,"PRAIRIE LEA ISD",13,169,26,63,5,0,5,144,169,87,0,-9999999,17,10
"STATE","DISTRICT","2015-2016",029901,"CALHOUN COUNTY ISD",03,4179,301,1260,480,128,346,2515,2968,2023,12,10,352,96
"STATE","DISTRICT","2015-2016",030901,"CROSS PLAINS ISD",14,349,30,120,7,0,7,194,194,149,0,-9999999,41,0
"STATE","DISTRICT","2015-2016",030902,"CLYDE CISD",14,1466,72,421,8,-9999999,8,717,1061,566,49,13,144,33
"STATE","DISTRICT","2015-2016",030903,"BAIRD ISD",14,337,12,99,-9999999,0,-9999999,225,163,150,-9999999,0,38,9
"STATE","DISTRICT","2015-2016",030906,"EULA ISD",14,397,19,127,-9999999,0,-9999999,211,237,134,8,7,39,15
"STATE","DISTRICT","2015-2016",031901,"BROWNSVILLE ISD",01,47749,5381,15007,15767,11151,4152,45177,47491,31777,162,46,5047,1856
"STATE","DISTRICT","2015-2016",031903,"HARLINGEN CISD",01,18721,1208,5797,2613,2396,652,14017,13075,11085,209,49,1709,324
"STATE","DISTRICT","2015-2016",031905,"LA FERIA ISD",01,3647,187,838,547,386,110,3034,3587,1801,46,16,313,118
"STATE","DISTRICT","2015-2016",031906,"LOS FRESNOS CISD",01,10886,774,3024,2445,1682,552,8528,10886,4646,153,16,875,682
"STATE","DISTRICT","2015-2016",031909,"POINT ISABEL ISD",01,2530,145,748,921,620,233,2074,2530,1644,6,-9999999,235,41
"STATE","DISTRICT","2015-2016",031911,"RIO HONDO ISD",01,2140,96,722,289,186,76,1862,2138,1057,16,8,191,41
"STATE","DISTRICT","2015-2016",031912,"SAN BENITO CISD",01,10899,297,3470,2546,1533,679,8853,10812,6286,101,39,878,44
"STATE","DISTRICT","2015-2016",031913,"SANTA MARIA ISD",01,692,170,271,272,179,88,667,692,493,0,0,47,0
"STATE","DISTRICT","2015-2016",031914,"SANTA ROSA ISD",01,1139,30,363,189,125,49,982,1139,718,7,9,96,-9999999
"STATE","DISTRICT","2015-2016",031916,"SOUTH TEXAS ISD",01,3589,735,2994,98,0,93,1945,3589,747,0,0,63,-9999999
"STATE","DISTRICT","2015-2016",032902,"PITTSBURG ISD",08,2476,79,729,432,109,314,1911,2476,1256,11,5,238,58
"STATE","DISTRICT","2015-2016",033901,"GROOM ISD",16,149,9,41,-9999999,0,-9999999,47,149,38,0,7,19,9
"STATE","DISTRICT","2015-2016",033902,"PANHANDLE ISD",16,651,54,178,-9999999,0,-9999999,153,307,134,0,-9999999,56,75
"STATE","DISTRICT","2015-2016",033904,"WHITE DEER ISD",16,376,14,106,-9999999,0,-9999999,165,376,87,-9999999,0,31,15
"STATE","DISTRICT","2015-2016",034901,"ATLANTA ISD",08,1760,146,487,39,0,39,1146,1760,745,8,16,168,43
"STATE","DISTRICT","2015-2016",034902,"AVINGER ISD",08,145,6,35,5,0,5,119,145,45,-9999999,-9999999,11,0
"STATE","DISTRICT","2015-2016",034903,"HUGHES SPRINGS ISD",08,1243,53,364,40,0,37,686,345,519,0,0,101,0
"STATE","DISTRICT","2015-2016",034905,"LINDEN-KILDARE CISD",08,713,43,215,24,0,24,509,713,298,-9999999,0,86,20
"STATE","DISTRICT","2015-2016",034906,"MCLEOD ISD",08,353,6,95,0,0,0,119,353,143,0,0,33,27
