PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Asian",16
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Hispanic",461
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Two or More Races",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","White",22
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Black or African American",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Asian",9
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Hispanic",113
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Two or More Races",24
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","White",302
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Black or African American",16
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Asian",10
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Hispanic",224
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Two or More Races",12
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","White",175
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Black or African American",48
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Asian",6
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Hispanic",714
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Two or More Races",20
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","White",57
