Texas Education Agency,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Enrollment Counts in Student Program and Special Populations Reports,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PEIMS Data 2012-2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SCOPE,AGG_LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL PRE-K MILITARY STUDENTS,TOTAL PRE-K FOSTER STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES
STATE,DISTRICT,2012-2013,18906,IREDELL ISD,12,131,-9999999,56,-9999999,0,-9999999,65,131,48,0,0,9
STATE,DISTRICT,2012-2013,18907,KOPPERL ISD,12,234,-9999999,78,-9999999,0,-9999999,163,234,66,0,0,25
STATE,DISTRICT,2012-2013,18908,CRANFILLS GAP ISD,12,126,0,49,12,0,12,101,126,46,0,0,9
STATE,DISTRICT,2012-2013,19901,DEKALB ISD,8,811,44,249,39,0,32,534,810,258,-9999999,0,89
STATE,DISTRICT,2012-2013,19902,HOOKS ISD,8,883,66,273,23,0,23,534,882,292,0,-9999999,98
STATE,DISTRICT,2012-2013,19903,MAUD ISD,8,479,20,138,0,0,0,266,479,117,0,0,60
STATE,DISTRICT,2012-2013,19905,NEW BOSTON ISD,8,1382,70,334,15,0,15,776,1382,566,0,0,175
STATE,DISTRICT,2012-2013,19906,REDWATER ISD,8,1161,102,421,6,0,6,451,622,274,-9999999,0,91
STATE,DISTRICT,2012-2013,19907,TEXARKANA ISD,8,7129,437,1714,335,166,169,4787,4657,3576,-9999999,-9999999,740
STATE,DISTRICT,2012-2013,19908,LIBERTY-EYLAU ISD,8,2751,175,698,42,0,42,2051,1252,1278,7,0,319
STATE,DISTRICT,2012-2013,19909,SIMMS ISD,8,499,24,215,0,0,0,283,485,205,0,0,75
STATE,DISTRICT,2012-2013,19910,MALTA ISD,8,147,-9999999,0,-9999999,0,-9999999,71,147,14,0,-9999999,11
STATE,DISTRICT,2012-2013,19911,RED LICK ISD,8,516,67,0,-9999999,0,-9999999,56,54,26,0,0,23
STATE,DISTRICT,2012-2013,19912,PLEASANT GROVE ISD,8,2041,388,600,54,0,47,576,109,544,-9999999,-9999999,142
STATE,DISTRICT,2012-2013,19913,HUBBARD ISD,8,99,0,14,5,0,5,50,99,11,0,0,9
STATE,DISTRICT,2012-2013,19914,LEARY ISD,8,109,-9999999,0,-9999999,0,-9999999,65,106,28,0,0,-9999999
STATE,DISTRICT,2012-2013,20901,ALVIN ISD,4,18886,1732,3723,2909,1622,1236,9742,10729,8373,10,-9999999,1727
STATE,DISTRICT,2012-2013,20902,ANGLETON ISD,4,6498,317,1379,526,627,107,3796,4586,3040,-9999999,-9999999,582
STATE,DISTRICT,2012-2013,20904,DANBURY ISD,4,782,63,267,31,0,31,229,430,225,0,-9999999,82
