PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"American Indian or Alaska Native",5
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Asian",16
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Hispanic",671
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Two or More Races",17
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"White",86
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Black or African American",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Asian",33
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Hispanic",250
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Two or More Races",30
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"White",234
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Black or African American",95
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Asian",141
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Hispanic",1076
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Native Hawaiian/Other or Pacific Islander",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Two or More Races",134
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"White",1461
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Black or African American",22
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Asian",8
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Hispanic",205
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Two or More Races",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"White",358
