Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",015830,"BROOKS ACADEMY OF SCIENCE AND ENGI",20,1511,32,527,111,48,47,874,1511,362,32,0,69
"STATE","DISTRICT","2013-2014",015831,"SCHOOL OF SCIENCE AND TECHNOLOGY D",20,1014,29,25,76,0,71,598,1014,295,0,0,58
"STATE","DISTRICT","2013-2014",015832,"CITY CENTER HEALTH CAREERS",20,144,10,39,28,0,28,131,144,74,0,0,9
"STATE","DISTRICT","2013-2014",015833,"HENRY FORD ACADEMY ALAMEDA SCHOOL",20,181,0,81,-9999999,0,0,69,98,99,0,0,16
"STATE","DISTRICT","2013-2014",015834,"BASIS SAN ANTONIO",20,508,0,0,0,0,0,28,0,0,0,0,12
"STATE","DISTRICT","2013-2014",015836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA",20,197,0,0,6,0,6,22,0,12,11,-9999999,5
"STATE","DISTRICT","2013-2014",015901,"ALAMO HEIGHTS ISD",20,4828,866,436,231,201,81,967,96,1271,-9999999,0,345
"STATE","DISTRICT","2013-2014",015904,"HARLANDALE ISD",20,15324,846,4228,2571,2377,749,13514,15075,10503,52,20,1403
"STATE","DISTRICT","2013-2014",015905,"EDGEWOOD ISD",20,12063,738,1956,2221,1733,466,11908,12063,9005,54,22,1150
"STATE","DISTRICT","2013-2014",015906,"RANDOLPH FIELD ISD",20,1177,99,101,-9999999,0,-9999999,115,35,187,1006,-9999999,67
"STATE","DISTRICT","2013-2014",015907,"SAN ANTONIO ISD",20,53857,2606,9383,10258,6420,2357,50289,53507,38610,555,192,5488
"STATE","DISTRICT","2013-2014",015908,"SOUTH SAN ANTONIO ISD",20,10014,459,2223,1434,1076,292,8981,10014,7344,49,50,701
"STATE","DISTRICT","2013-2014",015909,"SOMERSET ISD",20,3960,173,796,518,363,69,3089,3960,2343,-9999999,15,366
"STATE","DISTRICT","2013-2014",015910,"NORTH EAST ISD",20,68205,4125,11713,6510,4170,3162,31655,18073,24609,2915,167,6199
"STATE","DISTRICT","2013-2014",015911,"EAST CENTRAL ISD",20,9708,650,1871,798,1060,119,6396,5684,5629,171,59,1038
"STATE","DISTRICT","2013-2014",015912,"SOUTHWEST ISD",20,13319,560,2579,1853,1396,441,11166,13082,9351,281,31,1347
"STATE","DISTRICT","2013-2014",015913,"LACKLAND ISD",20,940,45,163,32,0,32,331,140,214,918,-9999999,105
"STATE","DISTRICT","2013-2014",015914,"FT SAM HOUSTON ISD",20,1547,71,198,57,0,52,507,0,406,1411,0,189
"STATE","DISTRICT","2013-2014",015915,"NORTHSIDE ISD",20,102129,9744,19344,7479,4291,2614,53164,34825,43323,3932,72,11386
"STATE","DISTRICT","2013-2014",015916,"JUDSON ISD",20,22972,1785,5099,1885,1276,604,16169,13309,14830,2277,154,2241
"STATE","DISTRICT","2013-2014",015917,"SOUTHSIDE ISD",20,5153,413,1284,759,584,161,4127,4564,3449,24,47,497
"STATE","DISTRICT","2013-2014",016901,"JOHNSON CITY ISD",13,709,40,181,34,0,33,274,260,253,0,0,67
"STATE","DISTRICT","2013-2014",016902,"BLANCO ISD",13,972,87,236,51,0,54,498,462,320,-9999999,-9999999,90
"STATE","DISTRICT","2013-2014",017901,"BORDEN COUNTY ISD",17,257,8,92,-9999999,0,-9999999,60,257,37,0,0,18
"STATE","DISTRICT","2013-2014",018901,"CLIFTON ISD",12,1040,56,264,77,0,76,623,1040,568,-9999999,-9999999,109
"STATE","DISTRICT","2013-2014",018902,"MERIDIAN ISD",12,523,42,132,27,0,26,322,264,256,0,13,57
