FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
288,14010,Christoval ISD,Christoval,226901,226-901,226901,4814010,2,805310643.469,137040.333853,1108506969.19141,160735.119872888
289,37740,Roma ISD,Roma,214903,214-903,214903,4837740,4,1333834942.32,207002.059114,1671947697.81445,231756.40701054
290,27750,Littlefield ISD,Littlefield,140904,140-904,140904,4827750,3,572520895.384,138653.796229,835289660.679688,167455.982383563
291,08160,Amherst ISD,Amherst,140901,140-901,140901,4808160,1,266785493.493,77125.3794364,390389050.71875,93326.9625297294
292,42570,Texline ISD,Texline,56902,056-902,056902,4842570,2,1585751989.19,242829.195781,2438653757.00781,301004.563535504
293,25290,Kelton ISD,Kelton,242905,242-905,242905,4825290,5,346310821.937,99630.2563934,521768931.183594,122349.657381982
294,39900,Shamrock ISD,Shamrock,242902,242-902,242902,4839900,4,815062903.019,157530.15152,1223968646.75781,192993.873005177
295,38160,Roxton ISD,Roxton,139908,139-908,139908,4838160,2,233358889.682,152240.726756,337669725.589844,183103.444037042
296,20310,Ganado ISD,Ganado,120902,120-902,120902,4820310,2,401645802.868,106174.094842,528492049.550781,121796.746554675
297,18210,Edna ISD,Edna,120901,120-901,120901,4818210,1,987783410.831,177038.278137,1300955162.42188,203134.260860947
298,32130,Natalia ISD,Natalia,163903,163-903,163903,4832130,5,106206144.801,60271.1817389,140323562.78125,69289.6944722722
299,39750,Seminole ISD,Seminole,83903,083-903,083903,4839750,4,3005634751.81,259089.299495,4271804008.97656,308725.081789167
300,39000,San Perlita ISD,San Perlita,245904,245-904,245904,4839000,1,708478205.489,136391.304982,886741263.613281,152342.012719454
301,46320,Woden ISD,Woden,174906,174-906,174906,4846320,4,350024027.313,163373.18315,484942929.910156,192276.990328424
302,32090,Nacogdoches ISD,Nacogdoches,174904,174-904,174904,4832090,1,577559358.146,263891.778637,801896562.734375,310858.264768123
303,29250,Martinsville ISD,Martinsville,174909,174-909,174909,4829250,3,170880915.675,115651.053242,237525294.300781,136308.58888618
304,17460,Douglass ISD,Douglass,174911,174-911,174911,4817460,4,232198521.253,114268.738526,322604055.007813,134659.225627361
305,13440,Central Heights ISD,Central Heights,174908,174-908,174908,4813440,4,179705924.004,85572.766376,250369451.019531,101005.392190041
306,37590,Rockdale ISD,Rockdale,166904,166-904,166904,4837590,5,539622965.248,258533.818053,735045964.5625,301730.188446177
307,30690,Milano ISD,Milano,166903,166-903,166903,4830690,3,356318895.267,113534.201163,485752882.007813,132617.787306606
308,20520,Gause ISD,Gause,166902,166-902,166902,4820520,7,194085279.13,74056.4340669,264838374.363281,86525.523845069
309,12640,Cameron ISD,Cameron,166901,166-901,166901,4812640,4,818395357.62,220639.773734,1119673729.73047,258069.156442354
310,11850,Buckholts ISD,Buckholts,166907,166-907,166907,4811850,1,132979677.535,76668.3268608,181888653.898438,89680.6344285392
311,46230,Winona ISD,Winona,212910,212-910,212910,4846230,7,303373917.896,138464.245924,429209570.269531,164707.496304398
312,13650,Chapel Hill ISD (Smith),Chapel Hill (Smith),212909,212-909,212909,4813650,6,342663895.483,117299.370941,483419296.144531,139334.638685392
313,44010,Venus ISD,Venus,126908,126-908,126908,4844010,5,91988175.9996,61565.8879582,130012158.589844,73239.4041128804
314,28920,Mansfield ISD,Mansfield,220908,220-908,220908,4828920,3,242793511.085,105065.395967,344188855.835938,125135.981790335
315,12180,Burleson ISD,Burleson,126902,126-902,126902,4812180,7,130264685.338,81894.5773339,184460043.886719,97454.5712437698
316,36570,Reagan County ISD,Reagan County,192901,192-901,192901,4836570,1,3032927451.8,222374.806911,4190652793.80469,261482.706837527
317,42480,Texarkana ISD,Texarkana,19907,019-907,019907,4842480,3,77124879.7544,63405.7297764,111384257.621094,76229.3717310935
318,40320,Simms ISD,Simms,19909,019-909,019909,4840320,2,378335323.073,128399.15471,545332295.21875,154188.848378912
