YEAR,CAMPUS NAME,CAMPUS NUMBER,DISTRICT NAME,DISTRICT NUMBER,GRADEGRP1X,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL ELL STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL HOMELESS STUDENTS,TOTAL DYSLEXIC STUDENTS
2017-2018,CROCKETT H S,227901008,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,1466,135,746,207,0,202,897,45,846,-9999999,-9999999,231,45,141
2017-2018,ANDERSON H S,227901009,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,2222,207,1224,112,0,106,493,24,732,18,-9999999,184,24,127
2017-2018,BOWIE H S,227901013,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,2880,333,1923,38,0,34,301,13,636,29,-9999999,240,15,178
2017-2018,LBJ HIGH SCHOOL,227901014,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,799,73,701,196,0,186,596,799,538,0,0,122,16,100
2017-2018,GARZA INDEPENDENCE H S,227901015,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,169,6,36,15,0,14,56,9,138,0,-9999999,14,10,9
2017-2018,AKINS H S,227901017,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,2765,208,2429,398,0,384,1691,44,1621,0,0,332,45,210
2017-2018,LASA H S,227901018,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,1186,623,735,0,0,0,98,-9999999,29,5,0,13,-9999999,18
2017-2018,EASTSIDE MEMORIAL AT THE JOHNSTON,227901019,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,491,17,340,167,0,164,436,491,384,-9999999,-9999999,92,15,64
2017-2018,GRADUATION PREP ACADEMY TRAVIS,227901025,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,164,0,0,34,0,33,121,-9999999,159,0,0,16,-9999999,17
2017-2018,GRADUATION PREP ACADEMY LANIER,227901026,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,77,0,5,23,0,23,49,5,75,0,0,9,5,6
