PEIMS DATA FOR SCHOOL YEAR 2014-2015
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  4",57
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  5",55
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Early Education",9
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Pre-kindergarten",103
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Kindergarten",149
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  1",163
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  2",133
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  3",133
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  4",139
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Grade  5",138
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Pre-kindergarten",79
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Kindergarten",76
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  1",73
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  2",86
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  3",70
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  4",53
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"Grade  5",59
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Early Education",9
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Pre-kindergarten",40
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Kindergarten",88
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  1",76
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  2",81
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  3",69
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  4",67
